cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;IQCZ17;2021-08-05;hemácias;45-52;97
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;ldl;45-54;66
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;ácido úrico;15-61;78
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;t4-livre;34-60;95
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;ácido úrico;15-61;10
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;ácido úrico;15-61;94
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;ldl;45-54;84
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;ácido úrico;15-61;52
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;hemácias;45-52;1
052.041.078-51;Sra. Meire da Terra;lavinia@bartoletti.co;1968-06-21;230 Rua Eduarda;Rio Fortuna;Maranhão;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;NIG0TP;2022-01-08;plaquetas;11-93;38
073.372.599-64;Liz Rios Neto;bernarda_beer@emard.org;1965-11-17;s/n Viela Thiago da Cunha;Ibitiara;Rondônia;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;0DJ575;2021-12-29;ácido úrico;15-61;4
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;00S0MD;2022-03-03;ácido úrico;15-61;3
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L13HPF;2021-04-27;eletrólitos;2-68;27
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L13HPF;2021-04-27;tsh;25-80;89
071.488.453-78;Antônio Rebouças;adalberto_grady@feil.org;1999-04-11;25228 Travessa Ladislau;Tefé;Sergipe;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;AIWH8Y;2021-06-29;hemácias;45-52;6
